model_name,Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
alexnet,Apple___Apple_scab,107,13,25,10716,0.8916666666666667,0.8106060606060606,0.8492063492063493
alexnet,Apple___Black_rot,124,6,3,10728,0.953846153846154,0.9763779527559056,0.9649805447470816
alexnet,Apple___Cedar_apple_rust,42,1,5,10813,0.9767441860465116,0.8936170212765957,0.9333333333333332
alexnet,Apple___healthy,314,20,20,10507,0.940119760479042,0.940119760479042,0.940119760479042
alexnet,Blueberry___healthy,298,15,10,10538,0.952076677316294,0.9675324675324676,0.9597423510466988
alexnet,Cherry_(including_sour)___Powdery_mildew,199,5,7,10650,0.9754901960784312,0.9660194174757282,0.9707317073170731
alexnet,Cherry_(including_sour)___healthy,173,5,3,10680,0.9719101123595506,0.9829545454545454,0.9774011299435028
alexnet,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,88,19,22,10732,0.822429906542056,0.8,0.8110599078341014
alexnet,Corn_(maize)___Common_rust_,232,6,2,10621,0.9747899159663864,0.9914529914529916,0.983050847457627
alexnet,Corn_(maize)___Northern_Leaf_Blight,163,20,20,10658,0.8907103825136612,0.8907103825136612,0.8907103825136612
alexnet,Corn_(maize)___healthy,237,3,0,10621,0.9875,1.0,0.9937106918238994
alexnet,Grape___Black_rot,234,17,7,10603,0.9322709163346612,0.970954356846473,0.951219512195122
alexnet,Grape___Esca_(Black_Measles),298,4,10,10549,0.9867549668874172,0.9675324675324676,0.9770491803278688
alexnet,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),227,5,4,10625,0.978448275862069,0.9826839826839828,0.980561555075594
alexnet,Grape___healthy,82,2,1,10776,0.9761904761904762,0.9879518072289156,0.9820359281437124
alexnet,Orange___Haunglongbing_(Citrus_greening),1052,5,6,9798,0.9952696310312203,0.994328922495274,0.9947990543735226
alexnet,Peach___Bacterial_spot,408,19,15,10419,0.955503512880562,0.9645390070921984,0.96
alexnet,Peach___healthy,69,7,3,10782,0.9078947368421052,0.9583333333333334,0.9324324324324323
alexnet,"Pepper,_bell___Bacterial_spot",162,9,14,10676,0.9473684210526316,0.9204545454545454,0.9337175792507204
alexnet,"Pepper,_bell___healthy",283,18,9,10551,0.9401993355481728,0.9691780821917808,0.954468802698145
alexnet,Potato___Early_blight,212,13,4,10632,0.9422222222222222,0.9814814814814816,0.9614512471655328
