model_name,Unnamed: 0,Pred_Apple___Apple_scab,Pred_Apple___Black_rot,Pred_Apple___Cedar_apple_rust,Pred_Apple___healthy,Pred_Blueberry___healthy,Pred_Cherry_(including_sour)___Powdery_mildew,Pred_Cherry_(including_sour)___healthy,Pred_Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Pred_Corn_(maize)___Common_rust_,Pred_Corn_(maize)___Northern_Leaf_Blight,Pred_Corn_(maize)___healthy,Pred_Grape___Black_rot,Pred_Grape___Esca_(Black_Measles),Pred_Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Pred_Grape___healthy,Pred_Orange___Haunglongbing_(Citrus_greening),Pred_Peach___Bacterial_spot,Pred_Peach___healthy,"Pred_Pepper,_bell___Bacterial_spot","Pred_Pepper,_bell___healthy",Pred_Potato___Early_blight,Pred_Potato___Late_blight,Pred_Potato___healthy,Pred_Raspberry___healthy,Pred_Soybean___healthy,Pred_Squash___Powdery_mildew,Pred_Strawberry___Leaf_scorch,Pred_Strawberry___healthy,Pred_Tomato___Bacterial_spot,Pred_Tomato___Early_blight,Pred_Tomato___Late_blight,Pred_Tomato___Leaf_Mold,Pred_Tomato___Septoria_leaf_spot,Pred_Tomato___Spider_mites Two-spotted_spider_mite,Pred_Tomato___Target_Spot,Pred_Tomato___Tomato_Yellow_Leaf_Curl_Virus,Pred_Tomato___Tomato_mosaic_virus,Pred_Tomato___healthy
alexnet,True_Apple___Apple_scab,107,4,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,1,1,0,0,1,4,0,0,0,0,0
alexnet,True_Apple___Black_rot,1,124,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexnet,True_Apple___Cedar_apple_rust,0,0,42,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
alexnet,True_Apple___healthy,3,0,0,314,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0
alexnet,True_Blueberry___healthy,1,0,0,5,298,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
alexnet,True_Cherry_(including_sour)___Powdery_mildew,0,0,0,1,0,199,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
alexnet,True_Cherry_(including_sour)___healthy,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
alexnet,True_Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0,0,0,0,0,0,0,88,4,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexnet,True_Corn_(maize)___Common_rust_,0,0,0,0,0,0,0,1,232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexnet,True_Corn_(maize)___Northern_Leaf_Blight,0,0,0,0,0,0,0,16,2,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
