Model,Accuracy (%),Error Rate (%),Training Time (min),Parameters (M),Confidence Gap,High-Conf Errors,Composite Score
InceptionV3,99.59,0.41,67.2,1.16,0.214,22,74.15
DenseNet121,99.59,0.41,152.4,7.5,0.154,29,72.86
ShuffleNetV2,99.54,0.46,60.8,1.29,0.195,28,73.74
SimpleCNN,99.48,0.52,59.8,1.74,0.218,27,74.17
ResNet50,99.45,0.55,132.0,24.04,0.179,36,73.26
ResNet18,99.41,0.59,59.2,11.32,0.186,38,73.46
EfficientNetB0,99.38,0.62,108.8,4.68,0.174,41,73.15
MobileNetV3Small,99.36,0.64,60.3,1.55,0.164,45,73.0
ResNet34,99.3,0.7,84.3,21.43,0.174,47,73.1
MobileNetV2,99.13,0.87,74.3,2.9,0.194,52,73.4
LeNet,97.25,2.75,57.5,9.59,0.235,132,72.95
AlexNet,95.5,4.5,57.6,57.16,0.271,165,72.44
