Class,F1_Mean,F1_Std,F1_Min,F1_Max,Precision_Mean,Precision_Min,Recall_Mean,Recall_Min,TP_Sum,FN_Sum,FP_Sum,Total_Samples,Error_Rate
Apple___Apple_scab,0.9665823149602546,0.04738326906909832,0.8492063492063493,1.0,0.9766115493034099,0.8916666666666667,0.9570707070707071,0.8106060606060606,1516,68,35,1584,6.502525252525253
Apple___Black_rot,0.9883687566683442,0.013641687883510507,0.9578544061302682,1.0,0.9809010790484775,0.9328358208955224,0.9960629921259843,0.9763779527559056,1518,6,30,1524,2.3622047244094486
Apple___Cedar_apple_rust,0.9809017439968942,0.02010816932767975,0.9333333333333332,1.0,0.9945897932816538,0.9583333333333334,0.9680851063829787,0.8936170212765957,546,18,3,564,3.723404255319149
Apple___healthy,0.9833278353962877,0.017839301503206204,0.940119760479042,0.9955022488755624,0.9886828979591648,0.940119760479042,0.9780439121756487,0.940119760479042,3920,88,45,4008,3.318363273453094
Blueberry___healthy,0.9916513606877283,0.011562436856933585,0.9597423510466988,1.0,0.9887472481872712,0.952076677316294,0.9945887445887447,0.9675324675324676,3676,20,42,3696,1.6774891774891776
Cherry_(including_sour)___Powdery_mildew,0.9943286333982798,0.008402110089477402,0.9707317073170731,1.0,0.9939316762808929,0.9754901960784312,0.9947411003236247,0.9660194174757282,2459,13,15,2472,1.132686084142395
Cherry_(including_sour)___healthy,0.9895804940186332,0.0058215592287412,0.9774011299435028,0.9971509971509972,0.991024854080401,0.9719101123595506,0.9881628787878788,0.9829545454545454,2087,25,19,2112,2.083333333333333
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9050121629600222,0.03821887070709855,0.8110599078341014,0.9357798165137616,0.9210740316903688,0.822429906542056,0.8901515151515151,0.8,1175,145,101,1320,18.636363636363637
Corn_(maize)___Common_rust_,0.9950346309264838,0.004169429720735717,0.983050847457627,0.9978678038379531,0.9925948961135568,0.9747899159663864,0.9975071225071225,0.9914529914529916,2801,7,21,2808,0.9971509971509971
Corn_(maize)___Northern_Leaf_Blight,0.9438257678994387,0.020656138117733813,0.8907103825136612,0.959349593495935,0.9362890284295395,0.883248730964467,0.9517304189435337,0.8907103825136612,2090,106,143,2196,11.33879781420765
Corn_(maize)___healthy,0.9973794410765736,0.0039029069761368856,0.98744769874477,1.0,0.9951373391680324,0.979253112033195,0.999648382559775,0.9957805907172996,2843,1,14,2844,0.5274261603375527
Grape___Black_rot,0.9902248402500952,0.01449402323088013,0.951219512195122,1.0,0.9881344387381611,0.9322709163346612,0.9923928077455049,0.966804979253112,2870,22,35,2892,1.970954356846473
Grape___Esca_(Black_Measles),0.9951138694461057,0.007039254381511648,0.9770491803278688,1.0,0.9959288128411449,0.9838187702265372,0.9943181818181818,0.9675324675324676,3675,21,15,3696,0.974025974025974
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9951441873809371,0.006367601418517632,0.980561555075594,1.0,0.9946395818048422,0.9744680851063828,0.9956709956709956,0.9826839826839828,2760,12,15,2772,0.974025974025974
Grape___healthy,0.9909755529362702,0.006561708058273434,0.9818181818181818,1.0,0.9890502983444333,0.9761904761904762,0.9929718875502008,0.9759036144578314,989,7,11,996,1.8072289156626504
