Class,Total_Misclassified
True_Tomato___Tomato_Yellow_Leaf_Curl_Virus,12732
True_Orange___Haunglongbing_(Citrus_greening),12696
True_Soybean___healthy,12444
True_Tomato___Bacterial_spot,5136
True_Peach___Bacterial_spot,5076
True_Tomato___Late_blight,4860
True_Squash___Powdery_mildew,4560
True_Tomato___Septoria_leaf_spot,4380
True_Tomato___Spider_mites Two-spotted_spider_mite,4020
True_Apple___healthy,4008
True_Tomato___healthy,3792
True_Blueberry___healthy,3696
True_Grape___Esca_(Black_Measles),3696
"True_Pepper,_bell___healthy",3504
True_Tomato___Target_Spot,3408
True_Grape___Black_rot,2892
True_Corn_(maize)___healthy,2844
True_Corn_(maize)___Common_rust_,2808
True_Grape___Leaf_blight_(Isariopsis_Leaf_Spot),2772
True_Potato___Early_blight,2592
True_Potato___Late_blight,2556
True_Strawberry___Leaf_scorch,2520
True_Cherry_(including_sour)___Powdery_mildew,2472
True_Corn_(maize)___Northern_Leaf_Blight,2196
True_Tomato___Early_blight,2172
True_Tomato___Leaf_Mold,2160
"True_Pepper,_bell___Bacterial_spot",2112
True_Cherry_(including_sour)___healthy,2112
True_Apple___Apple_scab,1584
True_Apple___Black_rot,1524
True_Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,1320
True_Strawberry___healthy,1188
True_Grape___healthy,996
True_Peach___healthy,864
True_Raspberry___healthy,864
True_Tomato___Tomato_mosaic_virus,840
True_Apple___Cedar_apple_rust,564
True_Potato___healthy,372
