Model,Final_Accuracy,Confidence_Gap,Overconfidence_Rate,Risk_Score,Deployment_Score,Category
LeNet,97.2470306601602,0.2353515625,44.14715719063545,99.2578125,75.4196720176557,Well-Calibrated & Safe
SimpleCNN,99.48439370223736,0.21826171875,48.214285714285715,21.00146484375,72.8476839693875,Well-Calibrated & Safe
AlexNet,95.49765214989412,0.27099609375,33.74233128834356,114.64599609375,87.33573310921422,Well-Calibrated & Safe
ResNet18,99.41073565969984,0.185546875,59.375,30.875,58.24054745764662,Poorly-Calibrated & Dangerous
ResNet34,99.30024859589356,0.173828125,61.8421052631579,38.71533203125,54.40821483282774,Poorly-Calibrated & Dangerous
ResNet50,99.4475646809686,0.1787109375,60.0,29.478515625,56.98719723954976,Poorly-Calibrated & Dangerous
MobileNetV2,99.13451800018414,0.19384765625,55.319148936170215,41.69140625,62.72135741252005,Well-Calibrated & Safe
MobileNetV3Small,99.36469938311387,0.1640625,65.21739130434783,37.55126953125,50.139231589492496,Poorly-Calibrated & Dangerous
ShuffleNetV2,99.5396372341405,0.19482421875,56.00000000000001,22.490234375,62.76425596025918,Well-Calibrated & Safe
EfficientNetB0,99.38311389374827,0.17431640625,61.19402985074627,33.77294921875,55.243227199997214,Poorly-Calibrated & Dangerous
DenseNet121,99.58567351072644,0.154296875,64.44444444444444,24.48291015625,50.303906162083486,Poorly-Calibrated & Dangerous
InceptionV3,99.59488076604364,0.21435546875,50.0,17.23046875,70.82786802406547,Well-Calibrated & Safe
