Model,High_Confidence_Errors,Avg_Confidence_Incorrect,Danger_Score
AlexNet,165,0.69482421875,114.64599609375
LeNet,132,0.751953125,99.2578125
MobileNetV2,52,0.8017578125,41.69140625
ResNet34,47,0.82373046875,38.71533203125
MobileNetV3Small,45,0.83447265625,37.55126953125
EfficientNetB0,41,0.82373046875,33.77294921875
ResNet18,38,0.8125,30.875
ResNet50,36,0.81884765625,29.478515625
DenseNet121,29,0.84423828125,24.48291015625
ShuffleNetV2,28,0.80322265625,22.490234375
SimpleCNN,27,0.77783203125,21.00146484375
InceptionV3,22,0.783203125,17.23046875
