Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
Apple___Apple_scab,107,13,25,10716,0.8916666666666667,0.8106060606060606,0.8492063492063493
Apple___Black_rot,124,6,3,10728,0.9538461538461539,0.9763779527559056,0.9649805447470817
Apple___Cedar_apple_rust,42,1,5,10813,0.9767441860465116,0.8936170212765957,0.9333333333333332
Apple___healthy,314,20,20,10507,0.9401197604790419,0.9401197604790419,0.9401197604790419
Blueberry___healthy,298,15,10,10538,0.952076677316294,0.9675324675324676,0.9597423510466989
Cherry_(including_sour)___Powdery_mildew,199,5,7,10650,0.9754901960784313,0.9660194174757282,0.9707317073170731
Cherry_(including_sour)___healthy,173,5,3,10680,0.9719101123595506,0.9829545454545454,0.9774011299435029
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,88,19,22,10732,0.822429906542056,0.8,0.8110599078341014
Corn_(maize)___Common_rust_,232,6,2,10621,0.9747899159663865,0.9914529914529915,0.983050847457627
Corn_(maize)___Northern_Leaf_Blight,163,20,20,10658,0.8907103825136612,0.8907103825136612,0.8907103825136612
Corn_(maize)___healthy,237,3,0,10621,0.9875,1.0,0.9937106918238994
Grape___Black_rot,234,17,7,10603,0.9322709163346613,0.970954356846473,0.951219512195122
Grape___Esca_(Black_Measles),298,4,10,10549,0.9867549668874173,0.9675324675324676,0.9770491803278688
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),227,5,4,10625,0.978448275862069,0.9826839826839827,0.980561555075594
Grape___healthy,82,2,1,10776,0.9761904761904762,0.9879518072289156,0.9820359281437125
Orange___Haunglongbing_(Citrus_greening),1052,5,6,9798,0.9952696310312205,0.994328922495274,0.9947990543735226
Peach___Bacterial_spot,408,19,15,10419,0.955503512880562,0.9645390070921985,0.9600000000000001
Peach___healthy,69,7,3,10782,0.9078947368421053,0.9583333333333334,0.9324324324324325
"Pepper,_bell___Bacterial_spot",162,9,14,10676,0.9473684210526315,0.9204545454545454,0.9337175792507205
"Pepper,_bell___healthy",283,18,9,10551,0.9401993355481728,0.9691780821917808,0.954468802698145
Potato___Early_blight,212,13,4,10632,0.9422222222222222,0.9814814814814815,0.9614512471655329
Potato___Late_blight,188,22,25,10626,0.8952380952380953,0.8826291079812206,0.888888888888889
Potato___healthy,29,5,2,10825,0.8529411764705882,0.9354838709677419,0.8923076923076922
Raspberry___healthy,70,5,2,10784,0.9333333333333333,0.9722222222222222,0.9523809523809524
Soybean___healthy,1019,9,18,9815,0.9912451361867705,0.982642237222758,0.9869249394673123
Squash___Powdery_mildew,377,7,3,10474,0.9817708333333334,0.9921052631578947,0.9869109947643979
Strawberry___Leaf_scorch,203,6,7,10645,0.9712918660287081,0.9666666666666667,0.9689737470167064
Strawberry___healthy,97,2,2,10760,0.9797979797979798,0.9797979797979798,0.9797979797979798
Tomato___Bacterial_spot,408,13,20,10420,0.9691211401425178,0.9532710280373832,0.96113074204947
Tomato___Early_blight,156,34,25,10646,0.8210526315789474,0.861878453038674,0.8409703504043127
Tomato___Late_blight,353,23,52,10433,0.9388297872340425,0.8716049382716049,0.9039692701664532
Tomato___Leaf_Mold,162,24,18,10657,0.8709677419354839,0.9,0.8852459016393444
Tomato___Septoria_leaf_spot,325,29,40,10467,0.9180790960451978,0.8904109589041096,0.9040333796940196
Tomato___Spider_mites Two-spotted_spider_mite,295,16,40,10510,0.9485530546623794,0.8805970149253731,0.913312693498452
Tomato___Target_Spot,256,36,28,10541,0.8767123287671232,0.9014084507042254,0.8888888888888888
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1050,20,11,9780,0.9813084112149533,0.9896324222431668,0.985452839042703
Tomato___Tomato_mosaic_virus,68,10,2,10781,0.8717948717948718,0.9714285714285714,0.9189189189189189
Tomato___healthy,312,16,4,10529,0.9512195121951219,0.9873417721518988,0.968944099378882
