Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
Apple___Apple_scab,131,1,1,10728,0.9924242424242424,0.9924242424242424,0.9924242424242424
Apple___Black_rot,127,0,0,10734,1.0,1.0,1.0
Apple___Cedar_apple_rust,46,0,1,10814,1.0,0.9787234042553191,0.989247311827957
Apple___healthy,328,1,6,10526,0.9969604863221885,0.9820359281437125,0.9894419306184011
Blueberry___healthy,308,2,0,10551,0.9935483870967742,1.0,0.9967637540453074
Cherry_(including_sour)___Powdery_mildew,206,0,0,10655,1.0,1.0,1.0
Cherry_(including_sour)___healthy,174,0,2,10685,1.0,0.9886363636363636,0.9942857142857142
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,102,6,8,10745,0.9444444444444444,0.9272727272727272,0.9357798165137615
Corn_(maize)___Common_rust_,233,1,1,10626,0.9957264957264957,0.9957264957264957,0.9957264957264957
Corn_(maize)___Northern_Leaf_Blight,177,9,6,10669,0.9516129032258065,0.9672131147540983,0.959349593495935
Corn_(maize)___healthy,237,0,0,10624,1.0,1.0,1.0
Grape___Black_rot,240,1,1,10619,0.995850622406639,0.995850622406639,0.995850622406639
Grape___Esca_(Black_Measles),307,0,1,10553,1.0,0.9967532467532467,0.9983739837398374
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),231,1,0,10629,0.9956896551724138,1.0,0.9978401727861772
Grape___healthy,83,0,0,10778,1.0,1.0,1.0
Orange___Haunglongbing_(Citrus_greening),1058,0,0,9803,1.0,1.0,1.0
Peach___Bacterial_spot,423,0,0,10438,1.0,1.0,1.0
Peach___healthy,72,0,0,10789,1.0,1.0,1.0
"Pepper,_bell___Bacterial_spot",176,0,0,10685,1.0,1.0,1.0
"Pepper,_bell___healthy",290,0,2,10569,1.0,0.9931506849315068,0.9965635738831615
Potato___Early_blight,216,0,0,10645,1.0,1.0,1.0
Potato___Late_blight,212,1,1,10647,0.9953051643192489,0.9953051643192489,0.9953051643192489
Potato___healthy,31,0,0,10830,1.0,1.0,1.0
Raspberry___healthy,72,0,0,10789,1.0,1.0,1.0
Soybean___healthy,1036,6,1,9818,0.9942418426103646,0.9990356798457087,0.9966329966329965
Squash___Powdery_mildew,380,1,0,10480,0.9973753280839895,1.0,0.9986859395532194
Strawberry___Leaf_scorch,209,1,1,10650,0.9952380952380953,0.9952380952380953,0.9952380952380953
Strawberry___healthy,99,0,0,10762,1.0,1.0,1.0
Tomato___Bacterial_spot,427,3,1,10430,0.9930232558139535,0.9976635514018691,0.9953379953379954
Tomato___Early_blight,180,1,1,10679,0.994475138121547,0.994475138121547,0.994475138121547
Tomato___Late_blight,401,2,4,10454,0.9950372208436724,0.9901234567901235,0.9925742574257426
Tomato___Leaf_Mold,179,0,1,10681,1.0,0.9944444444444445,0.9972144846796658
Tomato___Septoria_leaf_spot,364,2,1,10494,0.994535519125683,0.9972602739726028,0.9958960328317372
Tomato___Spider_mites Two-spotted_spider_mite,334,1,1,10525,0.9970149253731343,0.9970149253731343,0.9970149253731343
Tomato___Target_Spot,282,2,2,10575,0.9929577464788732,0.9929577464788732,0.9929577464788732
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1060,2,1,9798,0.9981167608286252,0.9990574929311969,0.9985869053226565
Tomato___Tomato_mosaic_virus,70,0,0,10791,1.0,1.0,1.0
Tomato___healthy,315,1,1,10544,0.9968354430379747,0.9968354430379747,0.9968354430379747
