Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
Apple___Apple_scab,128,2,4,10727,0.9846153846153847,0.9696969696969697,0.9770992366412214
Apple___Black_rot,127,3,0,10731,0.9769230769230769,1.0,0.9883268482490272
Apple___Cedar_apple_rust,45,0,2,10814,1.0,0.9574468085106383,0.9782608695652174
Apple___healthy,329,2,5,10525,0.9939577039274925,0.9850299401197605,0.9894736842105264
Blueberry___healthy,307,1,1,10552,0.9967532467532467,0.9967532467532467,0.9967532467532467
Cherry_(including_sour)___Powdery_mildew,206,2,0,10653,0.9903846153846154,1.0,0.9951690821256038
Cherry_(including_sour)___healthy,175,1,1,10684,0.9943181818181818,0.9943181818181818,0.9943181818181818
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,101,11,9,10740,0.9017857142857143,0.9181818181818182,0.9099099099099099
Corn_(maize)___Common_rust_,234,1,0,10626,0.9957446808510638,1.0,0.9978678038379531
Corn_(maize)___Northern_Leaf_Blight,171,9,12,10669,0.95,0.9344262295081968,0.9421487603305784
Corn_(maize)___healthy,237,0,0,10624,1.0,1.0,1.0
Grape___Black_rot,241,1,0,10619,0.9958677685950413,1.0,0.9979296066252588
Grape___Esca_(Black_Measles),307,1,1,10552,0.9967532467532467,0.9967532467532467,0.9967532467532467
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),230,0,1,10630,1.0,0.9956709956709957,0.9978308026030369
Grape___healthy,83,1,0,10777,0.9880952380952381,1.0,0.9940119760479043
Orange___Haunglongbing_(Citrus_greening),1058,0,0,9803,1.0,1.0,1.0
Peach___Bacterial_spot,422,1,1,10437,0.9976359338061466,0.9976359338061466,0.9976359338061466
Peach___healthy,72,1,0,10788,0.9863013698630136,1.0,0.993103448275862
"Pepper,_bell___Bacterial_spot",176,0,0,10685,1.0,1.0,1.0
"Pepper,_bell___healthy",290,0,2,10569,1.0,0.9931506849315068,0.9965635738831615
Potato___Early_blight,216,1,0,10644,0.9953917050691244,1.0,0.997690531177829
Potato___Late_blight,212,4,1,10644,0.9814814814814815,0.9953051643192489,0.9883449883449883
Potato___healthy,30,0,1,10830,1.0,0.967741935483871,0.9836065573770492
Raspberry___healthy,72,0,0,10789,1.0,1.0,1.0
Soybean___healthy,1035,1,2,9823,0.999034749034749,0.9980713596914176,0.9985528219971057
Squash___Powdery_mildew,380,1,0,10480,0.9973753280839895,1.0,0.9986859395532194
Strawberry___Leaf_scorch,210,0,0,10651,1.0,1.0,1.0
Strawberry___healthy,99,0,0,10762,1.0,1.0,1.0
Tomato___Bacterial_spot,428,3,0,10430,0.9930394431554525,1.0,0.9965075669383004
Tomato___Early_blight,170,4,11,10676,0.9770114942528736,0.9392265193370166,0.9577464788732395
Tomato___Late_blight,400,5,5,10451,0.9876543209876543,0.9876543209876543,0.9876543209876543
Tomato___Leaf_Mold,180,1,0,10680,0.994475138121547,1.0,0.9972299168975068
Tomato___Septoria_leaf_spot,362,2,3,10494,0.9945054945054945,0.9917808219178083,0.9931412894375857
Tomato___Spider_mites Two-spotted_spider_mite,332,0,3,10526,1.0,0.991044776119403,0.9955022488755623
Tomato___Target_Spot,282,6,2,10571,0.9791666666666666,0.9929577464788732,0.9860139860139859
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1061,1,0,9799,0.9990583804143126,1.0,0.9995289684408855
Tomato___Tomato_mosaic_virus,70,0,0,10791,1.0,1.0,1.0
Tomato___healthy,316,1,0,10544,0.9968454258675079,1.0,0.9984202211690364
