Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
Apple___Apple_scab,131,0,1,10729,1.0,0.9924242424242424,0.9961977186311787
Apple___Black_rot,127,1,0,10733,0.9921875,1.0,0.996078431372549
Apple___Cedar_apple_rust,46,0,1,10814,1.0,0.9787234042553191,0.989247311827957
Apple___healthy,330,0,4,10527,1.0,0.9880239520958084,0.9939759036144578
Blueberry___healthy,308,2,0,10551,0.9935483870967742,1.0,0.9967637540453074
Cherry_(including_sour)___Powdery_mildew,205,0,1,10655,1.0,0.9951456310679612,0.9975669099756691
Cherry_(including_sour)___healthy,175,1,1,10684,0.9943181818181818,0.9943181818181818,0.9943181818181818
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,99,8,11,10743,0.9252336448598131,0.9,0.9124423963133641
Corn_(maize)___Common_rust_,234,1,0,10626,0.9957446808510638,1.0,0.9978678038379531
Corn_(maize)___Northern_Leaf_Blight,175,11,8,10667,0.9408602150537635,0.9562841530054644,0.9485094850948509
Corn_(maize)___healthy,237,0,0,10624,1.0,1.0,1.0
Grape___Black_rot,240,0,1,10620,1.0,0.995850622406639,0.997920997920998
Grape___Esca_(Black_Measles),308,1,0,10552,0.9967637540453075,1.0,0.9983792544570502
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),231,1,0,10629,0.9956896551724138,1.0,0.9978401727861772
Grape___healthy,83,1,0,10777,0.9880952380952381,1.0,0.9940119760479043
Orange___Haunglongbing_(Citrus_greening),1058,0,0,9803,1.0,1.0,1.0
Peach___Bacterial_spot,422,0,1,10438,1.0,0.9976359338061466,0.9988165680473373
Peach___healthy,72,1,0,10788,0.9863013698630136,1.0,0.993103448275862
"Pepper,_bell___Bacterial_spot",176,1,0,10684,0.9943502824858758,1.0,0.9971671388101983
"Pepper,_bell___healthy",291,1,1,10568,0.9965753424657534,0.9965753424657534,0.9965753424657534
Potato___Early_blight,216,0,0,10645,1.0,1.0,1.0
Potato___Late_blight,212,0,1,10648,1.0,0.9953051643192489,0.9976470588235293
Potato___healthy,31,0,0,10830,1.0,1.0,1.0
Raspberry___healthy,72,0,0,10789,1.0,1.0,1.0
Soybean___healthy,1035,0,2,9824,1.0,0.9980713596914176,0.9990347490347491
Squash___Powdery_mildew,380,1,0,10480,0.9973753280839895,1.0,0.9986859395532194
Strawberry___Leaf_scorch,209,0,1,10651,1.0,0.9952380952380953,0.9976133651551313
Strawberry___healthy,99,0,0,10762,1.0,1.0,1.0
Tomato___Bacterial_spot,426,2,2,10431,0.9953271028037384,0.9953271028037384,0.9953271028037384
Tomato___Early_blight,178,1,3,10679,0.994413407821229,0.9834254143646409,0.9888888888888889
Tomato___Late_blight,403,5,2,10451,0.9877450980392157,0.9950617283950617,0.9913899138991389
Tomato___Leaf_Mold,180,0,0,10681,1.0,1.0,1.0
Tomato___Septoria_leaf_spot,364,1,1,10495,0.9972602739726028,0.9972602739726028,0.9972602739726028
Tomato___Spider_mites Two-spotted_spider_mite,335,0,0,10526,1.0,1.0,1.0
Tomato___Target_Spot,284,2,0,10575,0.993006993006993,1.0,0.9964912280701755
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1060,1,1,9799,0.9990574929311969,0.9990574929311969,0.9990574929311969
Tomato___Tomato_mosaic_virus,70,0,0,10791,1.0,1.0,1.0
Tomato___healthy,315,1,1,10544,0.9968354430379747,0.9968354430379747,0.9968354430379747
