Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
Apple___Apple_scab,114,11,18,10718,0.912,0.8636363636363636,0.88715953307393
Apple___Black_rot,125,9,2,10725,0.9328358208955224,0.984251968503937,0.9578544061302682
Apple___Cedar_apple_rust,43,0,4,10814,1.0,0.9148936170212766,0.9555555555555556
Apple___healthy,315,13,19,10514,0.9603658536585366,0.9431137724550899,0.9516616314199395
Blueberry___healthy,301,7,7,10546,0.9772727272727273,0.9772727272727273,0.9772727272727273
Cherry_(including_sour)___Powdery_mildew,203,3,3,10652,0.9854368932038835,0.9854368932038835,0.9854368932038835
Cherry_(including_sour)___healthy,173,2,3,10683,0.9885714285714285,0.9829545454545454,0.9857549857549858
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,88,9,22,10742,0.9072164948453608,0.8,0.8502415458937198
Corn_(maize)___Common_rust_,232,1,2,10626,0.9957081545064378,0.9914529914529915,0.9935760171306209
Corn_(maize)___Northern_Leaf_Blight,174,23,9,10655,0.883248730964467,0.9508196721311475,0.9157894736842105
Corn_(maize)___healthy,236,5,1,10619,0.979253112033195,0.9957805907172996,0.9874476987447699
Grape___Black_rot,233,6,8,10614,0.9748953974895398,0.966804979253112,0.9708333333333333
Grape___Esca_(Black_Measles),304,5,4,10548,0.9838187702265372,0.987012987012987,0.9854132901134521
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),229,6,2,10624,0.9744680851063829,0.9913419913419913,0.9828326180257511
Grape___healthy,81,1,2,10777,0.9878048780487805,0.9759036144578314,0.9818181818181818
Orange___Haunglongbing_(Citrus_greening),1056,2,2,9801,0.998109640831758,0.998109640831758,0.998109640831758
Peach___Bacterial_spot,411,6,12,10432,0.9856115107913669,0.9716312056737588,0.9785714285714285
Peach___healthy,72,3,0,10786,0.96,1.0,0.9795918367346939
"Pepper,_bell___Bacterial_spot",172,3,4,10682,0.9828571428571429,0.9772727272727273,0.98005698005698
"Pepper,_bell___healthy",283,10,9,10559,0.9658703071672355,0.9691780821917808,0.9675213675213676
Potato___Early_blight,210,8,6,10637,0.963302752293578,0.9722222222222222,0.9677419354838711
Potato___Late_blight,205,14,8,10634,0.9360730593607306,0.9624413145539906,0.9490740740740742
Potato___healthy,27,2,4,10828,0.9310344827586207,0.8709677419354839,0.9
Raspberry___healthy,71,3,1,10786,0.9594594594594594,0.9861111111111112,0.9726027397260274
Soybean___healthy,1030,13,7,9811,0.987535953978907,0.9932497589199615,0.9903846153846154
Squash___Powdery_mildew,373,7,7,10474,0.9815789473684211,0.9815789473684211,0.9815789473684211
Strawberry___Leaf_scorch,206,4,4,10647,0.9809523809523809,0.9809523809523809,0.9809523809523809
Strawberry___healthy,97,3,2,10759,0.97,0.9797979797979798,0.9748743718592964
Tomato___Bacterial_spot,419,9,9,10424,0.9789719626168224,0.9789719626168224,0.9789719626168224
Tomato___Early_blight,157,17,24,10663,0.9022988505747126,0.8674033149171271,0.8845070422535212
Tomato___Late_blight,370,23,35,10433,0.9414758269720102,0.9135802469135802,0.9273182957393483
Tomato___Leaf_Mold,171,14,9,10667,0.9243243243243243,0.95,0.9369863013698629
Tomato___Septoria_leaf_spot,345,15,20,10481,0.9583333333333334,0.9452054794520548,0.9517241379310345
Tomato___Spider_mites Two-spotted_spider_mite,319,11,16,10515,0.9666666666666667,0.9522388059701492,0.9593984962406014
Tomato___Target_Spot,273,16,11,10561,0.9446366782006921,0.9612676056338029,0.9528795811518325
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1059,8,2,9792,0.9925023430178069,0.998114985862394,0.9953007518796992
Tomato___Tomato_mosaic_virus,70,3,0,10788,0.958904109589041,1.0,0.9790209790209791
Tomato___healthy,315,4,1,10541,0.987460815047022,0.9968354430379747,0.9921259842519685
