Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
Apple___Apple_scab,127,2,5,10727,0.9844961240310077,0.9621212121212122,0.9731800766283525
Apple___Black_rot,127,1,0,10733,0.9921875,1.0,0.996078431372549
Apple___Cedar_apple_rust,45,0,2,10814,1.0,0.9574468085106383,0.9782608695652174
Apple___healthy,330,2,4,10525,0.9939759036144579,0.9880239520958084,0.990990990990991
Blueberry___healthy,307,1,1,10552,0.9967532467532467,0.9967532467532467,0.9967532467532467
Cherry_(including_sour)___Powdery_mildew,206,1,0,10654,0.9951690821256038,1.0,0.9975786924939467
Cherry_(including_sour)___healthy,174,1,2,10684,0.9942857142857143,0.9886363636363636,0.9914529914529915
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,99,12,11,10739,0.8918918918918919,0.9,0.8959276018099547
Corn_(maize)___Common_rust_,233,0,1,10627,1.0,0.9957264957264957,0.9978586723768736
Corn_(maize)___Northern_Leaf_Blight,174,12,9,10666,0.9354838709677419,0.9508196721311475,0.943089430894309
Corn_(maize)___healthy,237,1,0,10623,0.9957983193277311,1.0,0.9978947368421053
Grape___Black_rot,241,2,0,10618,0.9917695473251029,1.0,0.9958677685950413
Grape___Esca_(Black_Measles),308,1,0,10552,0.9967637540453075,1.0,0.9983792544570502
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),229,0,2,10630,1.0,0.9913419913419913,0.9956521739130434
Grape___healthy,81,1,2,10777,0.9878048780487805,0.9759036144578314,0.9818181818181818
Orange___Haunglongbing_(Citrus_greening),1058,0,0,9803,1.0,1.0,1.0
Peach___Bacterial_spot,422,4,1,10434,0.9906103286384976,0.9976359338061466,0.9941107184923439
Peach___healthy,72,0,0,10789,1.0,1.0,1.0
"Pepper,_bell___Bacterial_spot",174,1,2,10684,0.9942857142857143,0.9886363636363636,0.9914529914529915
"Pepper,_bell___healthy",290,1,2,10568,0.9965635738831615,0.9931506849315068,0.9948542024013721
Potato___Early_blight,216,1,0,10644,0.9953917050691244,1.0,0.997690531177829
Potato___Late_blight,210,5,3,10643,0.9767441860465116,0.9859154929577465,0.9813084112149533
Potato___healthy,31,1,0,10829,0.96875,1.0,0.9841269841269841
Raspberry___healthy,72,0,0,10789,1.0,1.0,1.0
Soybean___healthy,1036,3,1,9821,0.9971126082771896,0.9990356798457087,0.998073217726397
Squash___Powdery_mildew,379,2,1,10479,0.994750656167979,0.9973684210526316,0.9960578186596584
Strawberry___Leaf_scorch,209,0,1,10651,1.0,0.9952380952380953,0.9976133651551313
Strawberry___healthy,99,0,0,10762,1.0,1.0,1.0
Tomato___Bacterial_spot,428,5,0,10428,0.9884526558891455,1.0,0.9941927990708479
Tomato___Early_blight,163,6,18,10674,0.9644970414201184,0.9005524861878453,0.9314285714285714
Tomato___Late_blight,397,11,8,10445,0.9730392156862745,0.980246913580247,0.9766297662976631
Tomato___Leaf_Mold,178,0,2,10681,1.0,0.9888888888888889,0.9944134078212291
Tomato___Septoria_leaf_spot,359,3,6,10493,0.9917127071823204,0.9835616438356164,0.9876203576341128
Tomato___Spider_mites Two-spotted_spider_mite,331,3,4,10523,0.9910179640718563,0.9880597014925373,0.9895366218236173
Tomato___Target_Spot,279,5,5,10572,0.9823943661971831,0.9823943661971831,0.9823943661971831
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1061,4,0,9796,0.996244131455399,1.0,0.9981185324553152
Tomato___Tomato_mosaic_virus,70,1,0,10790,0.9859154929577465,1.0,0.9929078014184397
Tomato___healthy,315,1,1,10544,0.9968354430379747,0.9968354430379747,0.9968354430379747
