Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
Apple___Apple_scab,130,2,2,10727,0.9848484848484849,0.9848484848484849,0.9848484848484849
Apple___Black_rot,127,2,0,10732,0.9844961240310077,1.0,0.9921875
Apple___Cedar_apple_rust,46,2,1,10812,0.9583333333333334,0.9787234042553191,0.968421052631579
Apple___healthy,329,0,5,10527,1.0,0.9850299401197605,0.9924585218702865
Blueberry___healthy,308,2,0,10551,0.9935483870967742,1.0,0.9967637540453074
Cherry_(including_sour)___Powdery_mildew,206,0,0,10655,1.0,1.0,1.0
Cherry_(including_sour)___healthy,173,1,3,10684,0.9942528735632183,0.9829545454545454,0.9885714285714285
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,95,6,15,10745,0.9405940594059405,0.8636363636363636,0.9004739336492891
Corn_(maize)___Common_rust_,234,3,0,10624,0.9873417721518988,1.0,0.9936305732484078
Corn_(maize)___Northern_Leaf_Blight,176,14,7,10664,0.9263157894736842,0.9617486338797814,0.9436997319034852
Corn_(maize)___healthy,237,1,0,10623,0.9957983193277311,1.0,0.9978947368421053
Grape___Black_rot,240,2,1,10618,0.9917355371900827,0.995850622406639,0.9937888198757764
Grape___Esca_(Black_Measles),307,0,1,10553,1.0,0.9967532467532467,0.9983739837398374
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),230,0,1,10630,1.0,0.9956709956709957,0.9978308026030369
Grape___healthy,82,0,1,10778,1.0,0.9879518072289156,0.993939393939394
Orange___Haunglongbing_(Citrus_greening),1057,0,1,9803,1.0,0.999054820415879,0.9995271867612293
Peach___Bacterial_spot,423,0,0,10438,1.0,1.0,1.0
Peach___healthy,72,0,0,10789,1.0,1.0,1.0
"Pepper,_bell___Bacterial_spot",176,0,0,10685,1.0,1.0,1.0
"Pepper,_bell___healthy",290,2,2,10567,0.9931506849315068,0.9931506849315068,0.9931506849315068
Potato___Early_blight,216,0,0,10645,1.0,1.0,1.0
Potato___Late_blight,211,1,2,10647,0.9952830188679245,0.9906103286384976,0.9929411764705881
Potato___healthy,31,1,0,10829,0.96875,1.0,0.9841269841269841
Raspberry___healthy,71,0,1,10789,1.0,0.9861111111111112,0.993006993006993
Soybean___healthy,1036,5,1,9819,0.9951969260326609,0.9990356798457087,0.9971126082771896
Squash___Powdery_mildew,380,1,0,10480,0.9973753280839895,1.0,0.9986859395532194
Strawberry___Leaf_scorch,209,1,1,10650,0.9952380952380953,0.9952380952380953,0.9952380952380953
Strawberry___healthy,99,0,0,10762,1.0,1.0,1.0
Tomato___Bacterial_spot,426,3,2,10430,0.993006993006993,0.9953271028037384,0.9941656942823804
Tomato___Early_blight,178,0,3,10680,1.0,0.9834254143646409,0.9916434540389973
Tomato___Late_blight,400,3,5,10453,0.9925558312655087,0.9876543209876543,0.9900990099009901
Tomato___Leaf_Mold,180,1,0,10680,0.994475138121547,1.0,0.9972299168975068
Tomato___Septoria_leaf_spot,364,1,1,10495,0.9972602739726028,0.9972602739726028,0.9972602739726028
Tomato___Spider_mites Two-spotted_spider_mite,331,2,4,10524,0.993993993993994,0.9880597014925373,0.9910179640718564
Tomato___Target_Spot,282,5,2,10572,0.9825783972125436,0.9929577464788732,0.9877408056042032
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1060,2,1,9798,0.9981167608286252,0.9990574929311969,0.9985869053226565
Tomato___Tomato_mosaic_virus,70,0,0,10791,1.0,1.0,1.0
Tomato___healthy,315,1,1,10544,0.9968354430379747,0.9968354430379747,0.9968354430379747
