Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
Apple___Apple_scab,131,1,1,10728,0.9924242424242424,0.9924242424242424,0.9924242424242424
Apple___Black_rot,127,0,0,10734,1.0,1.0,1.0
Apple___Cedar_apple_rust,46,0,1,10814,1.0,0.9787234042553191,0.989247311827957
Apple___healthy,329,0,5,10527,1.0,0.9850299401197605,0.9924585218702865
Blueberry___healthy,308,3,0,10550,0.9903536977491961,1.0,0.9951534733441034
Cherry_(including_sour)___Powdery_mildew,206,1,0,10654,0.9951690821256038,1.0,0.9975786924939467
Cherry_(including_sour)___healthy,173,3,3,10682,0.9829545454545454,0.9829545454545454,0.9829545454545454
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,103,8,7,10743,0.9279279279279279,0.9363636363636364,0.9321266968325792
Corn_(maize)___Common_rust_,234,1,0,10626,0.9957446808510638,1.0,0.9978678038379531
Corn_(maize)___Northern_Leaf_Blight,174,7,9,10671,0.9613259668508287,0.9508196721311475,0.956043956043956
Corn_(maize)___healthy,237,0,0,10624,1.0,1.0,1.0
Grape___Black_rot,240,0,1,10620,1.0,0.995850622406639,0.997920997920998
Grape___Esca_(Black_Measles),308,0,0,10553,1.0,1.0,1.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),231,1,0,10629,0.9956896551724138,1.0,0.9978401727861772
Grape___healthy,83,0,0,10778,1.0,1.0,1.0
Orange___Haunglongbing_(Citrus_greening),1058,0,0,9803,1.0,1.0,1.0
Peach___Bacterial_spot,421,0,2,10438,1.0,0.9952718676122931,0.9976303317535545
Peach___healthy,72,1,0,10788,0.9863013698630136,1.0,0.993103448275862
"Pepper,_bell___Bacterial_spot",175,1,1,10684,0.9943181818181818,0.9943181818181818,0.9943181818181818
"Pepper,_bell___healthy",290,3,2,10566,0.9897610921501706,0.9931506849315068,0.9914529914529915
Potato___Early_blight,216,0,0,10645,1.0,1.0,1.0
Potato___Late_blight,211,1,2,10647,0.9952830188679245,0.9906103286384976,0.9929411764705881
Potato___healthy,31,0,0,10830,1.0,1.0,1.0
Raspberry___healthy,71,0,1,10789,1.0,0.9861111111111112,0.993006993006993
Soybean___healthy,1035,4,2,9820,0.9961501443695862,0.9980713596914176,0.9971098265895955
Squash___Powdery_mildew,379,1,1,10480,0.9973684210526316,0.9973684210526316,0.9973684210526316
Strawberry___Leaf_scorch,209,1,1,10650,0.9952380952380953,0.9952380952380953,0.9952380952380953
Strawberry___healthy,99,0,0,10762,1.0,1.0,1.0
Tomato___Bacterial_spot,425,5,3,10428,0.9883720930232558,0.9929906542056075,0.9906759906759907
Tomato___Early_blight,179,3,2,10677,0.9835164835164835,0.988950276243094,0.9862258953168045
Tomato___Late_blight,398,6,7,10450,0.9851485148514851,0.9827160493827161,0.9839307787391842
Tomato___Leaf_Mold,180,1,0,10680,0.994475138121547,1.0,0.9972299168975068
Tomato___Septoria_leaf_spot,363,2,2,10494,0.9945205479452055,0.9945205479452055,0.9945205479452055
Tomato___Spider_mites Two-spotted_spider_mite,333,2,2,10524,0.9940298507462687,0.9940298507462687,0.9940298507462687
Tomato___Target_Spot,282,2,2,10575,0.9929577464788732,0.9929577464788732,0.9929577464788732
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1058,1,3,9799,0.9990557129367328,0.9971724787935909,0.9981132075471698
Tomato___Tomato_mosaic_virus,70,0,0,10791,1.0,1.0,1.0
Tomato___healthy,316,1,0,10544,0.9968454258675079,1.0,0.9984202211690364
