Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
Apple___Apple_scab,132,0,0,10729,1.0,1.0,1.0
Apple___Black_rot,127,0,0,10734,1.0,1.0,1.0
Apple___Cedar_apple_rust,47,0,0,10814,1.0,1.0,1.0
Apple___healthy,332,1,2,10526,0.996996996996997,0.9940119760479041,0.9955022488755623
Blueberry___healthy,308,0,0,10553,1.0,1.0,1.0
Cherry_(including_sour)___Powdery_mildew,205,0,1,10655,1.0,0.9951456310679612,0.9975669099756691
Cherry_(including_sour)___healthy,174,0,2,10685,1.0,0.9886363636363636,0.9942857142857142
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,101,5,9,10746,0.9528301886792453,0.9181818181818182,0.9351851851851851
Corn_(maize)___Common_rust_,234,3,0,10624,0.9873417721518988,1.0,0.9936305732484078
Corn_(maize)___Northern_Leaf_Blight,175,8,8,10670,0.9562841530054644,0.9562841530054644,0.9562841530054644
Corn_(maize)___healthy,237,1,0,10623,0.9957983193277311,1.0,0.9978947368421053
Grape___Black_rot,241,0,0,10620,1.0,1.0,1.0
Grape___Esca_(Black_Measles),308,0,0,10553,1.0,1.0,1.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),230,0,1,10630,1.0,0.9956709956709957,0.9978308026030369
Grape___healthy,83,2,0,10776,0.9764705882352941,1.0,0.988095238095238
Orange___Haunglongbing_(Citrus_greening),1058,0,0,9803,1.0,1.0,1.0
Peach___Bacterial_spot,421,1,2,10437,0.9976303317535545,0.9952718676122931,0.9964497041420118
Peach___healthy,72,1,0,10788,0.9863013698630136,1.0,0.993103448275862
"Pepper,_bell___Bacterial_spot",176,1,0,10684,0.9943502824858758,1.0,0.9971671388101983
"Pepper,_bell___healthy",291,1,1,10568,0.9965753424657534,0.9965753424657534,0.9965753424657534
Potato___Early_blight,216,1,0,10644,0.9953917050691244,1.0,0.997690531177829
Potato___Late_blight,213,2,0,10646,0.9906976744186047,1.0,0.9953271028037384
Potato___healthy,30,0,1,10830,1.0,0.967741935483871,0.9836065573770492
Raspberry___healthy,72,0,0,10789,1.0,1.0,1.0
Soybean___healthy,1035,1,2,9823,0.999034749034749,0.9980713596914176,0.9985528219971057
Squash___Powdery_mildew,380,1,0,10480,0.9973753280839895,1.0,0.9986859395532194
Strawberry___Leaf_scorch,210,0,0,10651,1.0,1.0,1.0
Strawberry___healthy,98,1,1,10761,0.98989898989899,0.98989898989899,0.98989898989899
Tomato___Bacterial_spot,425,4,3,10429,0.9906759906759907,0.9929906542056075,0.9918319719953325
Tomato___Early_blight,174,4,7,10676,0.9775280898876404,0.9613259668508287,0.9693593314763231
Tomato___Late_blight,401,6,4,10450,0.9852579852579852,0.9901234567901235,0.9876847290640394
Tomato___Leaf_Mold,180,1,0,10680,0.994475138121547,1.0,0.9972299168975068
Tomato___Septoria_leaf_spot,361,0,4,10496,1.0,0.989041095890411,0.9944903581267218
Tomato___Spider_mites Two-spotted_spider_mite,334,0,1,10526,1.0,0.9970149253731343,0.9985052316890882
Tomato___Target_Spot,284,3,0,10574,0.9895470383275261,1.0,0.9947460595446586
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1060,1,1,9799,0.9990574929311969,0.9990574929311969,0.9990574929311969
Tomato___Tomato_mosaic_virus,70,0,0,10791,1.0,1.0,1.0
Tomato___healthy,316,1,0,10544,0.9968454258675079,1.0,0.9984202211690364
