Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
Apple___Apple_scab,129,0,3,10729,1.0,0.9772727272727273,0.9885057471264368
Apple___Black_rot,127,2,0,10732,0.9844961240310077,1.0,0.9921875
Apple___Cedar_apple_rust,47,0,0,10814,1.0,1.0,1.0
Apple___healthy,328,2,6,10525,0.9939393939393939,0.9820359281437125,0.9879518072289156
Blueberry___healthy,308,4,0,10549,0.9871794871794872,1.0,0.9935483870967742
Cherry_(including_sour)___Powdery_mildew,205,1,1,10654,0.9951456310679612,0.9951456310679612,0.9951456310679612
Cherry_(including_sour)___healthy,175,0,1,10685,1.0,0.9943181818181818,0.9971509971509972
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,101,5,9,10746,0.9528301886792453,0.9181818181818182,0.9351851851851851
Corn_(maize)___Common_rust_,233,1,1,10626,0.9957264957264957,0.9957264957264957,0.9957264957264957
Corn_(maize)___Northern_Leaf_Blight,177,10,6,10668,0.946524064171123,0.9672131147540983,0.9567567567567568
Corn_(maize)___healthy,237,0,0,10624,1.0,1.0,1.0
Grape___Black_rot,241,2,0,10618,0.9917695473251029,1.0,0.9958677685950413
Grape___Esca_(Black_Measles),307,0,1,10553,1.0,0.9967532467532467,0.9983739837398374
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),231,1,0,10629,0.9956896551724138,1.0,0.9978401727861772
Grape___healthy,82,1,1,10777,0.9879518072289156,0.9879518072289156,0.9879518072289156
Orange___Haunglongbing_(Citrus_greening),1057,0,1,9803,1.0,0.999054820415879,0.9995271867612293
Peach___Bacterial_spot,423,0,0,10438,1.0,1.0,1.0
Peach___healthy,72,0,0,10789,1.0,1.0,1.0
"Pepper,_bell___Bacterial_spot",175,1,1,10684,0.9943181818181818,0.9943181818181818,0.9943181818181818
"Pepper,_bell___healthy",291,0,1,10569,1.0,0.9965753424657534,0.9982847341337907
Potato___Early_blight,216,1,0,10644,0.9953917050691244,1.0,0.997690531177829
Potato___Late_blight,209,2,4,10646,0.990521327014218,0.9812206572769953,0.9858490566037736
Potato___healthy,31,1,0,10829,0.96875,1.0,0.9841269841269841
Raspberry___healthy,72,1,0,10788,0.9863013698630136,1.0,0.993103448275862
Soybean___healthy,1035,2,2,9822,0.9980713596914176,0.9980713596914176,0.9980713596914176
Squash___Powdery_mildew,380,1,0,10480,0.9973753280839895,1.0,0.9986859395532194
Strawberry___Leaf_scorch,210,0,0,10651,1.0,1.0,1.0
Strawberry___healthy,99,0,0,10762,1.0,1.0,1.0
Tomato___Bacterial_spot,426,2,2,10431,0.9953271028037384,0.9953271028037384,0.9953271028037384
Tomato___Early_blight,176,2,5,10678,0.9887640449438202,0.9723756906077348,0.9805013927576601
Tomato___Late_blight,403,4,2,10452,0.9901719901719902,0.9950617283950617,0.9926108374384236
Tomato___Leaf_Mold,179,0,1,10681,1.0,0.9944444444444445,0.9972144846796658
Tomato___Septoria_leaf_spot,363,1,2,10495,0.9972527472527473,0.9945205479452055,0.9958847736625515
Tomato___Spider_mites Two-spotted_spider_mite,332,3,3,10523,0.991044776119403,0.991044776119403,0.991044776119403
Tomato___Target_Spot,282,1,2,10576,0.9964664310954063,0.9929577464788732,0.9947089947089947
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1060,4,1,9796,0.9962406015037594,0.9990574929311969,0.9976470588235293
Tomato___Tomato_mosaic_virus,70,0,0,10791,1.0,1.0,1.0
Tomato___healthy,316,1,0,10544,0.9968454258675079,1.0,0.9984202211690364
